Title	URL	Assignees	Status	Size
Búsqueda y filtrado de libros en la biblioteca	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/50		Product Backlog	S
Biblioteca del usuario	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/49		Product Backlog	S
Añadir libro a la biblioteca	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/48		Product Backlog	
Registro de usuario	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/14		Product Backlog	S
Inicio de sesión del usuario	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/1		Product Backlog	S
Edición del perfil de usuario	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/15		Product Backlog	S
Búsqueda e incorporación de libros por título, autor o ISBN	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/2		Product Backlog	M
Búsqueda de libro por género	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/47		Product Backlog	S
Borrado de libros de la biblioteca	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/3		Product Backlog	S
Modificar el estado de los libros de la biblioteca	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/4		Product Backlog	XS
Registro del progreso de lectura: páginas actuales y fecha de última actualización	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/5		Product Backlog	S
Registro del tiempo invertido en una sesión de lectura	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/6		Product Backlog	
Retos de lectura temáticos	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/13		Product Backlog	
Notificaciones recordatorias opcionales para continuar lectura	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/16		Product Backlog	
Cálculo automático de páginas leídas totales	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/17		Product Backlog	
Cálculo de tiempo total invertido en lectura	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/18		Product Backlog	
Seguimiento de constancia semanal y diaria	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/19		Product Backlog	
Visualización de métricas en listas o gráficos simples	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/20		Product Backlog	
Comparación de progreso con metas personales	https://github.com/UNIZAR-30248-2025-LEEMAS/Docs/issues/21		Product Backlog	
